SHANGHAI SHENZHEN CSI 300 - MARKET VALUE,SHANGHAI SHENZHEN CSI 300 - PRICE HIGH,SHANGHAI SHENZHEN CSI 300 - PRICE LOW,SHANGHAI SHENZHEN CSI 300 - OPENING PRICE,SHANGHAI SHENZHEN CSI 300 - PRICE INDEX,SHANGHAI SHENZHEN CSI 300 - TURNOVER BY VALUE,SHANGHAI SHENZHEN CSI 300 - TURNOVER BY VOLUME
CHSS300(MV),CHSS300(PH),CHSS300(PL),CHSS300(PO),CHSS300(PI),CHSS300(VA),CHSS300(VO)
2189525,952.98,944.63,949.08,952.72,8242226,17843310
2154211,956.3,934.97,953.41,936.61,10583990,21222240
2185970,952.9,932.65,934.99,952.76,9956808,19608460
2189206,958.87,947.71,954.27,955.28,11753260,22424380
2181577,959.9,946.02,955.11,949.06,7924193,16219310
2176641,952.55,945.4,949.78,949.51,5610130,11672610
2207050,963.92,948.13,949.58,963.77,7999031,16579430
2223314,970.26,961.64,964.97,970.19,9942627,19958290
2219662,970.96,965.66,970.58,969.6,8098160,16377680
2210641,970.37,964.28,969.62,967.49,6989327,13978570
2216426,971.99,964.26,967.44,971.14,7427481,14737420
2197191,971.65,957.12,971.38,961.92,9189438,18636590
2150806,961.37,943.82,961.37,944.41,8760459,18541890
2107203,942.73,914.23,942.73,923.27,8625589,18115520
2097379,927.42,914.81,921.51,916.15,5549882,11547640
2100432,919.65,913.61,915.84,918.48,4398425,8836240
2063136,921.13,903.39,918.87,904.21,5576097,11086060
2062320,910.33,901.38,903.33,903.72,4331475,8850309
2099482,915.97,904.28,904.28,915.97,5798238,11938980
2104884,918.66,913.45,916.59,917.39,4529466,9001432
2104884,,,,917.39,,
2104884,,,,917.39,,
2104884,,,,917.39,,
2104884,,,,917.39,,
2104884,,,,917.39,,
2077193,917.21,906.88,917.21,907.32,3665624,7158450
2104966,919.8,904.04,906.63,919.72,4032539,7758294
2108717,926.09,917.38,920.45,923.48,6653231,12208850
2089272,926.01,916.27,923.43,916.5,6021814,10828900
2062881,917.89,902.81,916.34,904.83,5568049,10123940
2040294,903.27,892.36,903.27,897.62,5516482,10552510
2050354,903,895.62,897.37,902.37,5849997,11366320
2041157,907.88,897.04,902.04,898.74,5474099,11033050
2046632,900.13,889.57,898.89,899.91,6082545,12608720
2055008,907.79,897.99,899.64,904.41,5645096,11364590
2046292,908.45,900.23,905.13,906.65,4674775,9218982
2016574,905.97,893.61,905.97,894.27,5687104,11213400
1969042,892.62,873.89,892.62,875.82,5911800,12167120
1975329,879.67,869.72,873.47,875.85,5881848,11908590
1950512,880.21,859.69,875.86,867.73,5565266,11973380
1974105,878.41,866.15,866.62,876.28,4954801,10443650
1972349,875.96,862.69,875.96,872.86,4762514,10082750
