Name,MARKET VALUE,PRICE HIGH,PRICE LOW,PRICE OPEN,PRICE INDEX,TURNOVER BY VALUE,VOLUME
10/4/2005,2104884,,,,917.39,,
10/5/2005,2104884,,,,917.39,,
10/6/2005,2104884,,,,917.39,,
10/7/2005,2104884,,,,917.39,,
10/10/2005,2077193,917.21,906.88,917.21,907.32,3665624,7158450
10/11/2005,2104966,919.8,904.04,906.63,919.72,4032539,7758294
10/12/2005,2108717,926.09,917.38,920.45,923.48,6653231,12208850
10/13/2005,2089272,926.01,916.27,923.43,916.5,6021814,10828900
10/14/2005,2062881,917.89,902.81,916.34,904.83,5568049,10123940
10/17/2005,2040294,903.27,892.36,903.27,897.62,5516482,10552510
10/18/2005,2050354,903,895.62,897.37,902.37,5849997,11366320
